Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_Index,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Avg_Speed_mps,Brake_Aggression,Max_Lateral_g,Max_Longitudinal_g,TyreLife,PC1,PC2,PC3
11,51,SOFT,2023,British_Grand_Prix,R,90.914,40911405.94032449,3808.624083399504,508.2280470544824,63.79841672074474,0.3534546439449125,135.38650422152767,300.54890419055664,23.0,2.008603708107826,0.025348746519168495,1.9758160874169486
14,48,SOFT,2023,British_Grand_Prix,R,91.338,43236006.44415116,3943.3446636431854,509.81754503084113,63.49101682108324,0.3517076829857098,92.4711257738271,259.4495320158334,18.0,1.8660676228137747,-0.05719280236612069,2.1620530455502296
16,48,MEDIUM,2023,British_Grand_Prix,R,91.255,42910646.35969465,3981.755794876793,534.732560176677,63.65284520913688,0.369748997835605,92.04466252806264,277.09220330772143,16.0,1.764881205814726,-0.2324492071348792,1.577367877806173
18,42,SOFT,2023,British_Grand_Prix,R,91.508,42579334.96375196,3890.610692783584,530.4690563516095,63.42820925006957,0.3480358147394133,104.37945390874408,232.8777838796753,14.0,1.9262548361014205,-0.12175096307509732,2.3002659923661835
20,29,MEDIUM,2023,British_Grand_Prix,R,93.356,41244451.92002632,3839.8671173051785,486.40244188210113,62.36644561725991,0.335987946906038,84.0666142621217,279.2502962556861,29.0,1.49058290870823,0.29046186043708017,1.6062648620997675
21,48,SOFT,2023,British_Grand_Prix,R,92.353,39857807.3642733,3794.208293132592,493.710883834905,63.04732851933232,0.3587444682309762,85.08701706323467,202.6895591326725,16.0,1.4108557395821915,-0.20281837098318767,2.105856516230091
22,48,SOFT,2023,British_Grand_Prix,R,92.084,39854259.0345249,3744.893860960003,505.7933039868858,63.031253858563325,0.32447634469631,94.60857996450908,227.21938771174987,16.0,1.6578168359081524,0.10357955667304285,2.5246466926224085
23,41,SOFT,2023,British_Grand_Prix,R,91.273,41670857.33434339,3845.63045964118,513.6915463244923,63.45464777248021,0.3756363777178959,101.13210764671672,280.6195636380144,13.0,1.7716760535555431,-0.41126610192175284,1.9306442982554533
24,48,SOFT,2023,British_Grand_Prix,R,91.769,40758702.41380672,3815.379652132109,534.3256549558854,63.2772957279092,0.355440427259286,99.35546612219564,241.99226189001115,15.0,1.7698225085495012,-0.20603819094465792,2.1509594279874062
27,52,SOFT,2023,British_Grand_Prix,R,91.776,42858451.6893291,3879.48837832476,496.7721857179053,63.33162214359662,0.3776846471767789,92.8623894922496,275.4034726859021,20.0,1.69985271560079,-0.26601355780935676,1.7529036265161226
