Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_per_m,PC1,PC2,PC3
7,45,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,92.778,4324.688690283658,-1.146865440293864,-2.2482682063623853,-0.6494025261485459
9,7,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,97.043,4584.6439525434835,-2.3012439676036394,2.2578423717222758,-3.6801379193710995
10,46,HARD,2021,Saudi_Arabian_Grand_Prix,R,92.297,4576.226824876063,1.7154636052565253,0.26109382777226414,1.8912060043746612
11,9,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,94.138,4531.123535673968,-1.1966996594185062,0.15560624066274745,-2.223784773403146
14,46,SOFT,2021,Saudi_Arabian_Grand_Prix,R,91.633,4666.077504201129,2.1879647488111456,-1.7114306564362298,-0.9513300824335935
16,46,HARD,2021,Saudi_Arabian_Grand_Prix,R,91.601,4781.3382713118635,2.231059665590577,2.826458700553531,0.5865536209902195
18,45,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,92.804,4453.842865939611,-1.0168695354297375,-0.9240731841198986,-1.106113632516743
22,44,HARD,2021,Saudi_Arabian_Grand_Prix,R,92.506,4434.528485578997,-0.14309600735525616,-1.1881503569874405,1.8806823847200687
31,47,HARD,2021,Saudi_Arabian_Grand_Prix,R,91.797,4616.066155449078,0.996703082299154,-0.00417352679484743,1.7752411963529258
33,35,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,91.488,4579.289590831155,0.4188661158126846,-1.4502474956701272,-1.1099836445715356
44,47,HARD,2021,Saudi_Arabian_Grand_Prix,R,90.734,4608.772104392836,2.188456042596065,0.1858654152227496,1.8466961655138905
47,8,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,96.043,4691.829726007035,-0.7076489547383533,2.541143512096946,-3.5117221794527946
55,37,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,91.851,4545.737767299946,0.32379856627911613,-0.535760262673052,-1.2864225569258674
63,7,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,96.13,4700.25901252617,-1.2829170341715737,1.8420853746858914,-3.335218291378518
77,47,MEDIUM,2021,Saudi_Arabian_Grand_Prix,R,91.408,4652.081111968938,1.1520945005506504,-0.5989144801179385,-0.9951314674512611
99,37,HARD,2021,Saudi_Arabian_Grand_Prix,R,92.865,4474.006037378184,-1.031214566165077,-0.2802673991858472,1.220774636256204
1,37,HARD,2022,Australian_Grand_Prix,R,81.677,7470.708877154697,1.8799979461739198,0.7112266368798804,0.8314226341761378
3,54,HARD,2022,Australian_Grand_Prix,R,82.451,6911.8210462120305,-1.080660860295343,-0.2695663478297795,1.3667549107617347
4,55,HARD,2022,Australian_Grand_Prix,R,82.248,6747.110468710398,-0.6660520548306087,-1.0690871672908755,1.9523853970438387
5,17,HARD,2022,Australian_Grand_Prix,R,85.189,7075.2889712248925,-1.5455757190437684,2.907197435153254,-0.5522162693167875
6,49,HARD,2022,Australian_Grand_Prix,R,83.882,6908.368556820068,-2.4173130013125004,1.1626497954295454,0.2089706843331787
10,52,HARD,2022,Australian_Grand_Prix,R,82.731,7574.794030568243,1.1425332469575222,0.8002031683079224,1.2003970599710838
11,58,HARD,2022,Australian_Grand_Prix,R,81.094,7557.002457500367,1.5223302562650962,0.3942259293382718,1.448529015854869
14,57,MEDIUM,2022,Australian_Grand_Prix,R,80.846,7165.4650157865435,2.0270790108606485,-1.8278833737347449,-1.5065210189303317
16,58,HARD,2022,Australian_Grand_Prix,R,80.26,8676.136424593931,4.481774109042342,2.4880842700425956,0.6301602519632509
18,48,HARD,2022,Australian_Grand_Prix,R,83.592,6498.280376310424,-2.8509989055261693,0.018495573284270556,0.854101766463911
20,44,MEDIUM,2022,Australian_Grand_Prix,R,83.071,6847.058464905453,-0.5282040604855858,0.061022332619101664,-2.4940257688378034
22,56,HARD,2022,Australian_Grand_Prix,R,83.342,6734.650154587473,-2.081860200307644,1.1023157932928245,0.6947170914477561
23,54,HARD,2022,Australian_Grand_Prix,R,82.589,6726.5948427598,-1.2567369618277684,-0.035851306559573505,2.039401772475401
24,55,HARD,2022,Australian_Grand_Prix,R,82.541,6679.576413178505,-2.068866559580166,-0.10661228402264682,1.118146836128265
31,58,HARD,2022,Australian_Grand_Prix,R,82.469,6738.288160089293,-1.1775141032619567,0.21315583725426243,1.357223292337272
44,51,HARD,2022,Australian_Grand_Prix,R,81.886,7579.875575685663,2.9575530061426663,1.8186689360978672,0.809149680295386
47,55,HARD,2022,Australian_Grand_Prix,R,83.006,6662.446341394229,-2.014223318363352,0.06507014935936624,1.3510217174902486
63,53,HARD,2022,Australian_Grand_Prix,R,81.495,7364.713963630971,1.8763644259792864,0.22186200253792002,1.3972291837494772
77,54,HARD,2022,Australian_Grand_Prix,R,81.651,6587.28442819741,-0.5840572069675994,-0.9596505837081752,1.6146221468179796
1,36,MEDIUM,2022,Mexico_City_Grand_Prix,R,82.046,6727.900249027973,1.4661213823693502,0.704984673829024,-1.625564065313892
3,48,SOFT,2022,Mexico_City_Grand_Prix,R,82.022,6433.404711921002,1.5202923999352294,-0.9343797685694216,-0.8356126573251257
4,48,HARD,2022,Mexico_City_Grand_Prix,R,83.402,6658.160620208796,-0.7448416511799896,2.607377187883463,0.5893948867868614
5,45,MEDIUM,2022,Mexico_City_Grand_Prix,R,83.086,6501.747391249254,1.7322631308511618,1.374547746202443,-1.9134847576242657
