Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:55:15.996000,VER,1,0 days 00:01:32.059000,13.0,4.0,,,0 days 00:00:29.616000,0 days 00:00:37.192000,0 days 00:00:25.251000,0 days 00:54:13.553000,0 days 00:54:50.745000,0 days 00:55:15.996000,,255.0,244.0,298.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:53:43.937000,2024-07-05 15:40:11.144,1,,None,,False,True
0 days 00:56:47.968000,VER,1,0 days 00:01:31.972000,14.0,4.0,,,0 days 00:00:29.621000,0 days 00:00:37.100000,0 days 00:00:25.251000,0 days 00:55:45.617000,0 days 00:56:22.717000,0 days 00:56:47.968000,292.0,256.0,243.0,298.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:55:15.996000,2024-07-05 15:41:43.203,1,,None,,False,True
0 days 00:58:20.139000,VER,1,0 days 00:01:32.171000,15.0,4.0,,,0 days 00:00:29.694000,0 days 00:00:37.121000,0 days 00:00:25.356000,0 days 00:57:17.662000,0 days 00:57:54.783000,0 days 00:58:20.139000,293.0,255.0,244.0,298.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:56:47.968000,2024-07-05 15:43:15.175,1,,None,,False,True
0 days 00:59:53.554000,VER,1,0 days 00:01:33.415000,16.0,4.0,,,0 days 00:00:29.698000,0 days 00:00:37.158000,0 days 00:00:26.559000,0 days 00:58:49.837000,0 days 00:59:26.995000,0 days 00:59:53.554000,,256.0,248.0,300.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:58:20.139000,2024-07-05 15:44:47.346,1,,None,,False,True
0 days 01:01:25.227000,VER,1,0 days 00:01:31.673000,17.0,4.0,,,0 days 00:00:29.412000,0 days 00:00:37.034000,0 days 00:00:25.227000,0 days 01:00:22.966000,0 days 01:01:00,0 days 01:01:25.227000,292.0,258.0,246.0,300.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:59:53.554000,2024-07-05 15:46:20.761,1,,None,,False,True
0 days 01:03:03.227000,VER,1,0 days 00:01:38,18.0,4.0,,,0 days 00:00:29.605000,0 days 00:00:37.189000,0 days 00:00:31.206000,0 days 01:01:54.832000,0 days 01:02:32.021000,0 days 01:03:03.227000,289.0,257.0,246.0,301.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:01:25.227000,2024-07-05 15:47:52.434,1,,None,,False,True
0 days 01:04:35.262000,VER,1,0 days 00:01:32.035000,19.0,4.0,,,0 days 00:00:29.636000,0 days 00:00:37.052000,0 days 00:00:25.347000,0 days 01:03:32.863000,0 days 01:04:09.915000,0 days 01:04:35.262000,,255.0,244.0,297.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:03:03.227000,2024-07-05 15:49:30.434,1,,None,,False,True
0 days 01:06:07.673000,VER,1,0 days 00:01:32.411000,20.0,4.0,,,0 days 00:00:29.943000,0 days 00:00:36.994000,0 days 00:00:25.474000,0 days 01:05:05.205000,0 days 01:05:42.199000,0 days 01:06:07.673000,290.0,256.0,244.0,297.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:04:35.262000,2024-07-05 15:51:02.469,1,,None,,False,True
0 days 01:07:51.284000,VER,1,0 days 00:01:43.611000,21.0,4.0,,0 days 01:07:45.297000,0 days 00:00:29.574000,0 days 00:00:44.120000,0 days 00:00:29.917000,0 days 01:06:37.247000,0 days 01:07:21.367000,0 days 01:07:51.284000,297.0,212.0,,240.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:06:07.673000,2024-07-05 15:52:34.880,1,,None,,False,False
0 days 00:15:42.739000,SAR,2,,1.0,1.0,0 days 00:13:39.730000,,,0 days 00:00:53.089000,0 days 00:00:33.233000,,0 days 00:15:09.793000,0 days 00:15:42.809000,278.0,220.0,246.0,284.0,False,MEDIUM,1.0,True,Williams,0 days 00:13:39.730000,2024-07-05 15:00:06.937,1,,None,,False,False
